,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
170,Chennai Super Kings,Rajasthan Royals,125.0,126.0,Chennai Super Kings,Bat,Royals,7 wickets,Jos Buttler,Zayed Cricket Stadium,Abu Dhabi
171,Delhi Capitals,Kings XI Punjab,164.0,167.0,Delhi Capitals,Bat,Kings,5 wickets,Shikhar Dhawan,Dubai International Cricket Stadium,
172,Kolkata Knight Riders,Royal Challengers Bangalore,84.0,85.0,Kolkata Knight Riders,Bat,RCB,8 wickets,Mohammed Siraj,Zayed Cricket Stadium,Abu Dhabi
173,Rajasthan Royals,Sunrisers Hyderabad,154.0,156.0,Sunrisers Hyderabad,Field,Sunrisers,8 wickets,Manish Pandey,Dubai International Cricket Stadium,
174,Chennai Super Kings,Mumbai Indians,114.0,116.0,Mumbai Indians,Field,Mumbai,10 wickets,Trent Boult,Sharjah Cricket Stadium,
175,Kolkata Knight Riders,Delhi Capitals,194.0,135.0,Delhi Capitals,Field,KKR,59 runs,Varun Chakravarthy,Zayed Cricket Stadium,Abu Dhabi
176,Kings XI Punjab,Sunrisers Hyderabad,126.0,114.0,Sunrisers Hyderabad,Field,Kings,12 runs,Chris Jordan,Dubai International Cricket Stadium,
177,Royal Challengers Bangalore,Chennai Super Kings,145.0,150.0,Royal Challengers Bangalore,Bat,Super,8 wickets,Ruturaj Gaikwad,Dubai International Cricket Stadium,
178,Mumbai Indians,Rajasthan Royals,195.0,196.0,Mumbai Indians,Bat,Royals,8 wickets,Ben Stokes,Zayed Cricket Stadium,Abu Dhabi
179,Kolkata Knight Riders,Kings XI Punjab,149.0,150.0,Kings XI Punjab,Field,Kings,8 wickets,Chris Gayle,Sharjah Cricket Stadium,
180,Sunrisers Hyderabad,Delhi Capitals,219.0,131.0,Delhi Capitals,Field,Sunrisers,88 runs,Wriddhiman Saha,Dubai International Cricket Stadium,
181,Royal Challengers Bangalore,Mumbai Indians,164.0,166.0,Mumbai Indians,Field,Mumbai,5 wickets,Suryakumar Yadav,Zayed Cricket Stadium,Abu Dhabi
182,Kolkata Knight Riders,Chennai Super Kings,172.0,178.0,Chennai Super Kings,Field,Super,6 wickets,Ruturaj Gaikwad,Dubai International Cricket Stadium,
183,Kings XI Punjab,Rajasthan Royals,185.0,186.0,Rajasthan Royals,Field,Royals,7 wickets,Ben Stokes,Zayed Cricket Stadium,Abu Dhabi
184,Delhi Capitals,Mumbai Indians,110.0,111.0,Mumbai Indians,Field,Mumbai,9 wickets,Ishan Kishan,Dubai International Cricket Stadium,
185,Royal Challengers Bangalore,Sunrisers Hyderabad,120.0,121.0,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Sandeep Sharma,Sharjah Cricket Stadium,
186,Kings XI Punjab,Chennai Super Kings,153.0,154.0,Chennai Super Kings,Field,Super,9 wickets,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi
187,Kolkata Knight Riders,Rajasthan Royals,191.0,131.0,Rajasthan Royals,Field,KKR,60 runs,Pat Cummins,Dubai International Cricket Stadium,
188,Royal Challengers Bangalore,Delhi Capitals,152.0,154.0,Delhi Capitals,Field,Capitals,6 wickets,Anrich Nortje,Zayed Cricket Stadium,Abu Dhabi
189,Mumbai Indians,Sunrisers Hyderabad,149.0,151.0,Sunrisers Hyderabad,Field,Sunrisers,10 wickets,Shahbaz Nadeem,Sharjah Cricket Stadium,
190,Mumbai Indians,Delhi Capitals,200.0,143.0,Delhi Capitals,Field,Mumbai,57 runs,Jasprit Bumrah,Dubai International Cricket Stadium,
191,Royal Challengers Bangalore,Sunrisers Hyderabad,131.0,132.0,Sunrisers Hyderabad,Field,Sunrisers,6 wickets,Kane Williamson,Sheikh Zayed Stadium,Abu Dhabi
192,Delhi Capitals,Sunrisers Hyderabad,189.0,172.0,Delhi Capitals,Bat,Capitals,17 runs,Marcus Stoinis,Sheikh Zayed Stadium,Abu Dhabi
193,Delhi Capitals,Mumbai Indians,156.0,157.0,Delhi Capitals,Bat,Mumbai,5 wickets,Trent Boult,Dubai International Cricket Stadium,
194,Royal Challengers Bangalore,Chennai Super Kings,70.0,71.0,Chennai Super Kings,Field,Super,7 wickets,Harbhajan Singh,MA Chidambaram Stadium,Chepauk
195,Sunrisers Hyderabad,Kolkata Knight Riders,181.0,183.0,Kolkata Knight Riders,Field,KKR,6 wickets,Andre Russell,Eden Gardens,Kolkata
196,Delhi Capitals,Mumbai Indians,213.0,176.0,Mumbai Indians,Field,Capitals,37 runs,Rishabh Pant,Wankhede Stadium,Mumbai
197,Kings XI Punjab,Rajasthan Royals,184.0,170.0,Rajasthan Royals,Field,Kings,14 runs,Chris Gayle,Sawai Mansingh Stadium,Jaipur
198,Delhi Capitals,Chennai Super Kings,147.0,150.0,Delhi Capitals,Bat,Super,6 wickets,Shane Watson,Feroz Shah Kotla,Delhi
199,Kolkata Knight Riders,Kings XI Punjab,218.0,190.0,Kings XI Punjab,Field,KKR,28 runs,Andre Russell,Eden Gardens,Kolkata
200,Mumbai Indians,Royal Challengers Bangalore,187.0,181.0,Royal Challengers Bangalore,Field,Mumbai,6 runs,Jasprit Bumrah,M Chinnaswamy Stadium,Bangalore
201,Rajasthan Royals,Sunrisers Hyderabad,198.0,201.0,Rajasthan Royals,Bat,Sunrisers,5 wickets,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
202,Mumbai Indians,Kings XI Punjab,176.0,177.0,Kings XI Punjab,Field,Kings,8 wickets,Mayank Agarwal,Punjab Cricket Association IS Bindra Stadium,Mohali
203,Kolkata Knight Riders,Delhi Capitals,185.0,185.0,Delhi Capitals,Field,Tied,Tied,Prithvi Shaw,Feroz Shah Kotla,Delhi
204,Sunrisers Hyderabad,Royal Challengers Bangalore,231.0,113.0,Royal Challengers Bangalore,Field,Sunrisers,118 runs,Jonny Bairstow,Rajiv Gandhi International Stadium,Uppal
205,Chennai Super Kings,Rajasthan Royals,175.0,167.0,Rajasthan Royals,Field,Super,8 runs,MS Dhoni,MA Chidambaram Stadium,Chepauk
206,Kings XI Punjab,Delhi Capitals,166.0,152.0,Delhi Capitals,Field,Kings,14 runs,Sam Curran,Punjab Cricket Association IS Bindra Stadium,Mohali
207,Royal Challengers Bangalore,Rajasthan Royals,158.0,164.0,Rajasthan Royals,Field,Royals,7 wickets,Shreyas Gopal,Sawai Mansingh Stadium,Jaipur
208,Mumbai Indians,Chennai Super Kings,170.0,133.0,Chennai Super Kings,Field,Mumbai,37 runs,Hardik Pandya,Wankhede Stadium,Mumbai
209,Delhi Capitals,Sunrisers Hyderabad,129.0,131.0,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Jonny Bairstow,Feroz Shah Kotla,Delhi
210,Royal Challengers Bangalore,Kolkata Knight Riders,205.0,206.0,Kolkata Knight Riders,Field,KKR,5 wickets,Andre Russell,M Chinnaswamy Stadium,Bangalore
211,Chennai Super Kings,Kings XI Punjab,160.0,138.0,Chennai Super Kings,Bat,Super,22 runs,Harbhajan Singh,MA Chidambaram Stadium,Chepauk
212,Mumbai Indians,Sunrisers Hyderabad,136.0,96.0,Sunrisers Hyderabad,Field,Mumbai,40 runs,Alzarri Joseph,Rajiv Gandhi International Stadium,Uppal
213,Royal Challengers Bangalore,Delhi Capitals,149.0,152.0,Delhi Capitals,Field,Capitals,4 wickets,Kagiso Rabada,M Chinnaswamy Stadium,Bangalore
214,Rajasthan Royals,Kolkata Knight Riders,139.0,140.0,Kolkata Knight Riders,Field,KKR,8 wickets,Harry Gurney,Sawai Mansingh Stadium,Jaipur
215,Sunrisers Hyderabad,Kings XI Punjab,150.0,151.0,Kings XI Punjab,Field,Kings,6 wickets,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali
216,Kolkata Knight Riders,Chennai Super Kings,108.0,111.0,Chennai Super Kings,Field,Super,7 wickets,Deepak Chahar,MA Chidambaram Stadium,Chepauk
217,Kings XI Punjab,Mumbai Indians,197.0,198.0,Mumbai Indians,Field,Mumbai,3 wickets,Kieron Pollard,Wankhede Stadium,Mumbai
218,Rajasthan Royals,Chennai Super Kings,151.0,155.0,Chennai Super Kings,Field,Super,4 wickets,MS Dhoni,Sawai Mansingh Stadium,Jaipur
219,Kolkata Knight Riders,Delhi Capitals,178.0,180.0,Delhi Capitals,Field,Capitals,7 wickets,Shikhar Dhawan,Eden Gardens,Kolkata
220,Mumbai Indians,Rajasthan Royals,187.0,188.0,Rajasthan Royals,Field,Royals,4 wickets,Jos Buttler,Wankhede Stadium,Mumbai
221,Kings XI Punjab,Royal Challengers Bangalore,173.0,174.0,Royal Challengers Bangalore,Field,RCB,8 wickets,AB de Villiers,Punjab Cricket Association IS Bindra Stadium,Mohali
222,Kolkata Knight Riders,Chennai Super Kings,161.0,162.0,Chennai Super Kings,Field,Super,5 wickets,Imran Tahir,Eden Gardens,Kolkata
223,Delhi Capitals,Sunrisers Hyderabad,155.0,116.0,Sunrisers Hyderabad,Field,Capitals,39 runs,Keemo Paul,Rajiv Gandhi International Stadium,Uppal
224,Royal Challengers Bangalore,Mumbai Indians,171.0,172.0,Mumbai Indians,Field,Mumbai,5 wickets,Lasith Malinga,Wankhede Stadium,Mumbai
225,Kings XI Punjab,Rajasthan Royals,182.0,170.0,Rajasthan Royals,Field,Kings,12 runs,Ravichandran Ashwin,Punjab Cricket Association IS Bindra Stadium,Mohali
226,Chennai Super Kings,Sunrisers Hyderabad,132.0,137.0,Chennai Super Kings,Bat,Sunrisers,6 wickets,David Warner,Rajiv Gandhi International Stadium,Uppal
227,Mumbai Indians,Delhi Capitals,168.0,128.0,Mumbai Indians,Bat,Mumbai,40 runs,Hardik Pandya,Feroz Shah Kotla,Delhi
228,Royal Challengers Bangalore,Kolkata Knight Riders,213.0,203.0,Kolkata Knight Riders,Field,RCB,10 runs,Virat Kohli,Eden Gardens,Kolkata
229,Mumbai Indians,Rajasthan Royals,161.0,162.0,Rajasthan Royals,Field,Royals,5 wickets,Steven Smith,Sawai Mansingh Stadium,Jaipur
230,Kings XI Punjab,Delhi Capitals,163.0,166.0,Delhi Capitals,Field,Capitals,5 wickets,Shreyas Iyer,Feroz Shah Kotla,Delhi
231,Kolkata Knight Riders,Sunrisers Hyderabad,159.0,161.0,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Khaleel Ahmed,Rajiv Gandhi International Stadium,Uppal
232,Royal Challengers Bangalore,Chennai Super Kings,161.0,160.0,Chennai Super Kings,Field,RCB,1 run,Parthiv Patel,M Chinnaswamy Stadium,Bangalore
233,Rajasthan Royals,Delhi Capitals,191.0,193.0,Delhi Capitals,Field,Capitals,6 wickets,Rishabh Pant,Sawai Mansingh Stadium,Jaipur
234,Sunrisers Hyderabad,Chennai Super Kings,175.0,176.0,Chennai Super Kings,Field,Super,6 wickets,Shane Watson,MA Chidambaram Stadium,Chepauk
235,Royal Challengers Bangalore,Kings XI Punjab,202.0,185.0,Kings XI Punjab,Field,RCB,17 runs,AB de Villiers,M Chinnaswamy Stadium,Bangalore
236,Kolkata Knight Riders,Rajasthan Royals,175.0,177.0,Rajasthan Royals,Field,Royals,3 wickets,Varun Aaron,Eden Gardens,Kolkata
237,Mumbai Indians,Chennai Super Kings,155.0,109.0,Chennai Super Kings,Field,Mumbai,46 runs,Rohit Sharma,MA Chidambaram Stadium,Chepauk
238,Sunrisers Hyderabad,Rajasthan Royals,160.0,161.0,Rajasthan Royals,Field,Royals,7 wickets,Jaydev Unadkat,Sawai Mansingh Stadium,Jaipur
239,Delhi Capitals,Royal Challengers Bangalore,187.0,171.0,Delhi Capitals,Bat,Capitals,16 runs,Shikhar Dhawan,Feroz Shah Kotla,Delhi
240,Kolkata Knight Riders,Mumbai Indians,232.0,198.0,Mumbai Indians,Field,KKR,34 runs,Andre Russell,Eden Gardens,Kolkata
241,Sunrisers Hyderabad,Kings XI Punjab,212.0,167.0,Kings XI Punjab,Field,Sunrisers,45 runs,David Warner,Rajiv Gandhi International Stadium,Uppal
242,Royal Challengers Bangalore,Rajasthan Royals,,41.0,Rajasthan Royals,Field,No,No result,"20.00 start, First Session 20.00-21.30, Interval 21.30-21.50, Second Session 21.50- 23.20",M Chinnaswamy Stadium,Bangalore
243,Chennai Super Kings,Delhi Capitals,179.0,99.0,Delhi Capitals,Field,Super,80 runs,MS Dhoni,MA Chidambaram Stadium,Chepauk
244,Mumbai Indians,Sunrisers Hyderabad,162.0,162.0,Mumbai Indians,Bat,Tied,Tied,Jasprit Bumrah,Wankhede Stadium,Mumbai
245,Kings XI Punjab,Kolkata Knight Riders,183.0,185.0,Kolkata Knight Riders,Field,KKR,7 wickets,Shubman Gill,Punjab Cricket Association IS Bindra Stadium,Mohali
246,Rajasthan Royals,Delhi Capitals,115.0,121.0,Rajasthan Royals,Bat,Capitals,5 wickets,Amit Mishra,Feroz Shah Kotla,Delhi
247,Sunrisers Hyderabad,Royal Challengers Bangalore,175.0,178.0,Royal Challengers Bangalore,Field,RCB,4 wickets,Shimron Hetmyer,M Chinnaswamy Stadium,Bangalore
248,Chennai Super Kings,Kings XI Punjab,170.0,173.0,Kings XI Punjab,Field,Kings,6 wickets,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali
249,Kolkata Knight Riders,Mumbai Indians,133.0,134.0,Mumbai Indians,Field,Mumbai,9 wickets,Hardik Pandya,Wankhede Stadium,Mumbai
250,Chennai Super Kings,Mumbai Indians,131.0,132.0,Chennai Super Kings,Bat,Mumbai,6 wickets,Suryakumar Yadav,MA Chidambaram Stadium,Chepauk
251,Sunrisers Hyderabad,Delhi Capitals,162.0,165.0,Delhi Capitals,Field,Capitals,2 wickets,Rishabh Pant,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam
252,Delhi Capitals,Chennai Super Kings,147.0,151.0,Chennai Super Kings,Field,Super,6 wickets,Faf du Plessis,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,Visakhapatnam
253,Mumbai Indians,Chennai Super Kings,149.0,148.0,Mumbai Indians,Bat,Mumbai,1 run,Jasprit Bumrah,Rajiv Gandhi International Stadium,Uppal
254,Mumbai Indians,Chennai Super Kings,165.0,169.0,Chennai Super Kings,Field,Super,1 wicket,Dwayne Bravo,Wankhede Stadium,Mumbai
255,Delhi Daredevils,Kings XI Punjab,166.0,167.0,Kings XI Punjab,Field,Kings,6 wickets,KL Rahul,Punjab Cricket Association IS Bindra Stadium,Mohali
256,Royal Challengers Bangalore,Kolkata Knight Riders,176.0,177.0,Kolkata Knight Riders,Field,KKR,4 wickets,Sunil Narine,Eden Gardens,Kolkata
257,Rajasthan Royals,Sunrisers Hyderabad,125.0,127.0,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Shikhar Dhawan,Rajiv Gandhi International Stadium,Uppal
258,Kolkata Knight Riders,Chennai Super Kings,202.0,205.0,Chennai Super Kings,Field,Super,5 wickets,Sam Billings,MA Chidambaram Stadium,Chepauk
259,Rajasthan Royals,Delhi Daredevils,,60.0,Delhi Daredevils,Field,Royals,10 runs,Sanju Samson,Sawai Mansingh Stadium,Jaipur
260,Mumbai Indians,Sunrisers Hyderabad,147.0,151.0,Sunrisers Hyderabad,Field,Sunrisers,1 wicket,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
261,Kings XI Punjab,Royal Challengers Bangalore,155.0,159.0,Royal Challengers Bangalore,Field,RCB,4 wickets,Umesh Yadav,M Chinnaswamy Stadium,Bengaluru
262,Mumbai Indians,Delhi Daredevils,194.0,195.0,Delhi Daredevils,Field,Daredevils,7 wickets,Jason Roy,Wankhede Stadium,Mumbai
263,Kolkata Knight Riders,Sunrisers Hyderabad,138.0,139.0,Sunrisers Hyderabad,Field,Sunrisers,5 wickets,Billy Stanlake,Eden Gardens,Kolkata
264,Rajasthan Royals,Royal Challengers Bangalore,217.0,198.0,Royal Challengers Bangalore,Field,Royals,19 runs,Sanju Samson,M Chinnaswamy Stadium,Bengaluru
265,Kings XI Punjab,Chennai Super Kings,197.0,193.0,Chennai Super Kings,Field,Kings,4 runs,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,Mohali
266,Kolkata Knight Riders,Delhi Daredevils,200.0,129.0,Delhi Daredevils,Field,KKR,71 runs,Nitish Rana,Eden Gardens,Kolkata
267,Mumbai Indians,Royal Challengers Bangalore,213.0,167.0,Royal Challengers Bangalore,Field,Mumbai,46 runs,Rohit Sharma,Wankhede Stadium,Mumbai
268,Rajasthan Royals,Kolkata Knight Riders,160.0,163.0,Kolkata Knight Riders,Field,KKR,7 wickets,Nitish Rana,Sawai Mansingh Stadium,Jaipur
269,Kings XI Punjab,Sunrisers Hyderabad,193.0,178.0,Kings XI Punjab,Bat,Kings,15 runs,Chris Gayle,Punjab Cricket Association IS Bindra Stadium,Mohali
270,Chennai Super Kings,Rajasthan Royals,204.0,140.0,Rajasthan Royals,Field,Super,64 runs,Shane Watson,Maharashtra Cricket Association Stadium,Pune
271,Kolkata Knight Riders,Kings XI Punjab,191.0,126.0,Kings XI Punjab,Field,Kings,9 wickets,KL Rahul,Eden Gardens,Kolkata
272,Delhi Daredevils,Royal Challengers Bangalore,174.0,176.0,Royal Challengers Bangalore,Field,RCB,6 wickets,AB de Villiers,M Chinnaswamy Stadium,Bengaluru
273,Chennai Super Kings,Sunrisers Hyderabad,182.0,178.0,Sunrisers Hyderabad,Field,Super,4 runs,Ambati Rayudu,Rajiv Gandhi International Stadium,Uppal
274,Mumbai Indians,Rajasthan Royals,167.0,168.0,Mumbai Indians,Bat,Royals,3 wickets,Jofra Archer,Sawai Mansingh Stadium,Jaipur
275,Kings XI Punjab,Delhi Daredevils,143.0,139.0,Delhi Daredevils,Field,Kings,4 runs,Ankit Rajpoot,Feroz Shah Kotla,Delhi
276,Sunrisers Hyderabad,Mumbai Indians,118.0,87.0,Mumbai Indians,Field,Sunrisers,31 runs,Rashid Khan,Wankhede Stadium,Mumbai
277,Royal Challengers Bangalore,Chennai Super Kings,205.0,207.0,Chennai Super Kings,Field,Super,5 wickets,MS Dhoni,M Chinnaswamy Stadium,Bengaluru
278,Sunrisers Hyderabad,Kings XI Punjab,132.0,119.0,Kings XI Punjab,Field,Sunrisers,13 runs,Ankit Rajpoot,Rajiv Gandhi International Stadium,Uppal
279,Delhi Daredevils,Kolkata Knight Riders,219.0,164.0,Kolkata Knight Riders,Field,Daredevils,55 runs,Shreyas Iyer,Feroz Shah Kotla,Delhi
280,Chennai Super Kings,Mumbai Indians,169.0,170.0,Mumbai Indians,Field,Mumbai,8 wickets,Rohit Sharma,Maharashtra Cricket Association Stadium,Pune
281,Sunrisers Hyderabad,Rajasthan Royals,151.0,140.0,Sunrisers Hyderabad,Bat,Sunrisers,11 runs,Kane Williamson,Sawai Mansingh Stadium,Jaipur
282,Royal Challengers Bangalore,Kolkata Knight Riders,175.0,176.0,Kolkata Knight Riders,Field,KKR,6 wickets,Chris Lynn,M Chinnaswamy Stadium,Bengaluru
283,Chennai Super Kings,Delhi Daredevils,211.0,198.0,Delhi Daredevils,Field,Super,13 runs,Shane Watson,Maharashtra Cricket Association Stadium,Pune
284,Royal Challengers Bangalore,Mumbai Indians,167.0,153.0,Mumbai Indians,Field,RCB,14 runs,Tim Southee,M Chinnaswamy Stadium,Bengaluru
285,Delhi Daredevils,Rajasthan Royals,,146.0,Rajasthan Royals,Field,Daredevils,4 runs,Rishabh Pant,Feroz Shah Kotla,Delhi
286,Chennai Super Kings,Kolkata Knight Riders,177.0,180.0,Kolkata Knight Riders,Field,KKR,6 wickets,Sunil Narine,Eden Gardens,Kolkata
287,Kings XI Punjab,Mumbai Indians,174.0,176.0,Mumbai Indians,Field,Mumbai,6 wickets,Suryakumar Yadav,Holkar Cricket Stadium,Indore
288,Royal Challengers Bangalore,Chennai Super Kings,127.0,128.0,Chennai Super Kings,Field,Super,6 wickets,Ravindra Jadeja,Maharashtra Cricket Association Stadium,Pune
289,Delhi Daredevils,Sunrisers Hyderabad,163.0,164.0,Delhi Daredevils,Bat,Sunrisers,7 wickets,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
290,Mumbai Indians,Kolkata Knight Riders,181.0,168.0,Kolkata Knight Riders,Field,Mumbai,13 runs,Hardik Pandya,Wankhede Stadium,Mumbai
291,Rajasthan Royals,Kings XI Punjab,152.0,155.0,Kings XI Punjab,Field,Kings,6 wickets,Mujeeb Ur Rahman,Holkar Cricket Stadium,Indore
292,Sunrisers Hyderabad,Royal Challengers Bangalore,146.0,141.0,Royal Challengers Bangalore,Field,Sunrisers,5 runs,Kane Williamson,Rajiv Gandhi International Stadium,Uppal
293,Rajasthan Royals,Kings XI Punjab,158.0,143.0,Rajasthan Royals,Bat,Royals,15 runs,Jos Buttler,Sawai Mansingh Stadium,Jaipur
294,Mumbai Indians,Kolkata Knight Riders,210.0,108.0,Kolkata Knight Riders,Field,Mumbai,102 runs,Ishan Kishan,Eden Gardens,Kolkata
295,Delhi Daredevils,Sunrisers Hyderabad,187.0,191.0,Delhi Daredevils,Bat,Sunrisers,9 wickets,Shikhar Dhawan,Feroz Shah Kotla,Delhi
296,Chennai Super Kings,Rajasthan Royals,176.0,177.0,Chennai Super Kings,Bat,Royals,4 wickets,Jos Buttler,Sawai Mansingh Stadium,Jaipur
297,Kolkata Knight Riders,Kings XI Punjab,245.0,214.0,Kings XI Punjab,Field,KKR,31 runs,Sunil Narine,Holkar Cricket Stadium,Indore
298,Delhi Daredevils,Royal Challengers Bangalore,181.0,187.0,Royal Challengers Bangalore,Field,RCB,5 wickets,AB de Villiers,Feroz Shah Kotla,Delhi
299,Sunrisers Hyderabad,Chennai Super Kings,179.0,180.0,Chennai Super Kings,Field,Super,8 wickets,Ambati Rayudu,Maharashtra Cricket Association Stadium,Pune
300,Mumbai Indians,Rajasthan Royals,168.0,171.0,Rajasthan Royals,Field,Royals,7 wickets,Jos Buttler,Wankhede Stadium,Mumbai
301,Kings XI Punjab,Royal Challengers Bangalore,88.0,92.0,Royal Challengers Bangalore,Field,RCB,10 wickets,Umesh Yadav,Holkar Cricket Stadium,Indore
302,Rajasthan Royals,Kolkata Knight Riders,142.0,145.0,Kolkata Knight Riders,Field,KKR,6 wickets,Kuldeep Yadav,Eden Gardens,Kolkata
303,Mumbai Indians,Kings XI Punjab,186.0,183.0,Kings XI Punjab,Field,Mumbai,3 runs,Jasprit Bumrah,Wankhede Stadium,Mumbai
304,Royal Challengers Bangalore,Sunrisers Hyderabad,218.0,204.0,Sunrisers Hyderabad,Field,RCB,14 runs,AB de Villiers,M Chinnaswamy Stadium,Bengaluru
305,Delhi Daredevils,Chennai Super Kings,162.0,128.0,Chennai Super Kings,Field,Daredevils,34 runs,Harshal Patel,Feroz Shah Kotla,Delhi
306,Rajasthan Royals,Royal Challengers Bangalore,164.0,134.0,Rajasthan Royals,Bat,Royals,30 runs,Shreyas Gopal,Sawai Mansingh Stadium,Jaipur
307,Sunrisers Hyderabad,Kolkata Knight Riders,172.0,173.0,Sunrisers Hyderabad,Bat,KKR,5 wickets,Chris Lynn,Rajiv Gandhi International Stadium,Uppal
308,Delhi Daredevils,Mumbai Indians,174.0,163.0,Delhi Daredevils,Bat,Daredevils,11 runs,Amit Mishra,Feroz Shah Kotla,Delhi
309,Kings XI Punjab,Chennai Super Kings,153.0,159.0,Chennai Super Kings,Field,Super,5 wickets,Lungi Ngidi,Maharashtra Cricket Association Stadium,Pune
310,Sunrisers Hyderabad,Chennai Super Kings,139.0,140.0,Chennai Super Kings,Field,Super,2 wickets,Faf du Plessis,Wankhede Stadium,Mumbai
311,Kolkata Knight Riders,Rajasthan Royals,169.0,144.0,Rajasthan Royals,Field,KKR,25 runs,Andre Russell,Eden Gardens,Kolkata
312,Sunrisers Hyderabad,Kolkata Knight Riders,174.0,160.0,Kolkata Knight Riders,Field,Sunrisers,14 runs,Rashid Khan,Eden Gardens,Kolkata
313,Sunrisers Hyderabad,Chennai Super Kings,178.0,181.0,Chennai Super Kings,Field,Super,8 wickets,Shane Watson,Wankhede Stadium,Mumbai
314,Sunrisers Hyderabad,Royal Challengers Bangalore,207.0,172.0,Royal Challengers Bangalore,Field,Sunrisers,35 runs,Yuvraj Singh,Rajiv Gandhi International Stadium,Uppal
315,Mumbai Indians,Rising Pune Supergiant,184.0,187.0,Rising Pune Supergiant,Field,Supergiant,7 wickets,Steven Smith,Maharashtra Cricket Association Stadium,Pune
316,Gujarat Lions,Kolkata Knight Riders,183.0,184.0,Kolkata Knight Riders,Field,KKR,10 wickets,Chris Lynn,Saurashtra Cricket Association Stadium,Rajkot
317,Rising Pune Supergiant,Kings XI Punjab,163.0,164.0,Kings XI Punjab,Field,Kings,6 wickets,Glenn Maxwell,Holkar Cricket Stadium,Indore
318,Royal Challengers Bangalore,Delhi Daredevils,157.0,142.0,Royal Challengers Bangalore,Bat,RCB,15 runs,Kedar Jadhav,M Chinnaswamy Stadium,Bangalore
319,Gujarat Lions,Sunrisers Hyderabad,135.0,140.0,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Rashid Khan,Rajiv Gandhi International Stadium,Uppal
320,Kolkata Knight Riders,Mumbai Indians,178.0,180.0,Mumbai Indians,Field,Mumbai,4 wickets,Nitish Rana,Wankhede Stadium,Mumbai
321,Royal Challengers Bangalore,Kings XI Punjab,148.0,150.0,Royal Challengers Bangalore,Bat,Kings,8 wickets,Axar Patel,Holkar Cricket Stadium,Indore
322,Delhi Daredevils,Rising Pune Supergiant,205.0,108.0,Rising Pune Supergiant,Field,Daredevils,97 runs,Sanju Samson,Maharashtra Cricket Association Stadium,Pune
323,Sunrisers Hyderabad,Mumbai Indians,158.0,159.0,Mumbai Indians,Field,Mumbai,4 wickets,Jasprit Bumrah,Wankhede Stadium,Mumbai
324,Kings XI Punjab,Kolkata Knight Riders,170.0,171.0,Kolkata Knight Riders,Field,KKR,8 wickets,Sunil Narine,Eden Gardens,Kolkata
325,Royal Challengers Bangalore,Mumbai Indians,142.0,145.0,Mumbai Indians,Field,Mumbai,4 wickets,Kieron Pollard,M Chinnaswamy Stadium,Bangalore
326,Rising Pune Supergiant,Gujarat Lions,171.0,172.0,Gujarat Lions,Field,Guj,7 wickets,Andrew Tye,Saurashtra Cricket Association Stadium,Rajkot
327,Kolkata Knight Riders,Sunrisers Hyderabad,172.0,155.0,Sunrisers Hyderabad,Field,KKR,17 runs,Robin Uthappa,Eden Gardens,Kolkata
328,Delhi Daredevils,Kings XI Punjab,188.0,137.0,Delhi Daredevils,Bat,Daredevils,51 runs,Corey Anderson,Feroz Shah Kotla,Delhi
329,Gujarat Lions,Mumbai Indians,176.0,177.0,Mumbai Indians,Field,Mumbai,6 wickets,Nitish Rana,Wankhede Stadium,Mumbai
330,Rising Pune Supergiant,Royal Challengers Bangalore,161.0,134.0,Royal Challengers Bangalore,Field,Supergiant,27 runs,Ben Stokes,M Chinnaswamy Stadium,Bangalore
331,Delhi Daredevils,Kolkata Knight Riders,168.0,169.0,Delhi Daredevils,Bat,KKR,4 wickets,Nathan Coulter-Nile,Feroz Shah Kotla,Delhi
332,Sunrisers Hyderabad,Kings XI Punjab,159.0,154.0,Kings XI Punjab,Field,Sunrisers,5 runs,Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,Uppal
333,Royal Challengers Bangalore,Gujarat Lions,213.0,192.0,Gujarat Lions,Field,RCB,21 runs,Chris Gayle,Saurashtra Cricket Association Stadium,Rajkot
334,Sunrisers Hyderabad,Delhi Daredevils,191.0,176.0,Sunrisers Hyderabad,Bat,Sunrisers,15 runs,Kane Williamson,Rajiv Gandhi International Stadium,Uppal
335,Kings XI Punjab,Mumbai Indians,198.0,199.0,Mumbai Indians,Field,Mumbai,8 wickets,Jos Buttler,Holkar Cricket Stadium,Indore
