,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
497,Sunrisers Hyderabad,Rajasthan Royals,133.0,135.0,Rajasthan Royals,Field,Royals,4 wickets,Ajinkya Rahane,Sheikh Zayed Stadium,Abu Dhabi
498,Mumbai Indians,Royal Challengers Bangalore,115.0,116.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Parthiv Patel,Dubai International Cricket Stadium,
499,Kolkata Knight Riders,Delhi Daredevils,166.0,167.0,Kolkata Knight Riders,Bat,Daredevils,4 wickets,Jean-Paul Duminy,Dubai International Cricket Stadium,
500,Rajasthan Royals,Kings XI Punjab,191.0,193.0,Kings XI Punjab,Field,Kings,7 wickets,Glenn Maxwell,Sharjah Cricket Stadium,
501,Chennai Super Kings,Delhi Daredevils,177.0,84.0,Chennai Super Kings,Bat,Super,93 runs,Suresh Raina,Sheikh Zayed Stadium,Abu Dhabi
502,Kings XI Punjab,Sunrisers Hyderabad,193.0,121.0,Sunrisers Hyderabad,Field,Kings,72 runs,Glenn Maxwell,Sharjah Cricket Stadium,
503,Chennai Super Kings,Rajasthan Royals,140.0,133.0,Rajasthan Royals,Field,Super,7 runs,Ravindra Jadeja,Dubai International Cricket Stadium,
504,Kolkata Knight Riders,Royal Challengers Bangalore,150.0,148.0,Royal Challengers Bangalore,Field,KKR,2 runs,Chris Lynn,Sharjah Cricket Stadium,
505,Sunrisers Hyderabad,Delhi Daredevils,184.0,180.0,Sunrisers Hyderabad,Bat,Sunrisers,4 runs,Aaron Finch,Dubai International Cricket Stadium,
506,Mumbai Indians,Chennai Super Kings,141.0,142.0,Mumbai Indians,Bat,Super,7 wickets,Mohit Sharma,Dubai International Cricket Stadium,
507,Royal Challengers Bangalore,Rajasthan Royals,70.0,71.0,Rajasthan Royals,Field,Royals,6 wickets,Pravin Tambe,Sheikh Zayed Stadium,Abu Dhabi
508,Kings XI Punjab,Kolkata Knight Riders,132.0,109.0,Kolkata Knight Riders,Field,Kings,23 runs,Sandeep Sharma,Sheikh Zayed Stadium,Abu Dhabi
509,Mumbai Indians,Delhi Daredevils,125.0,126.0,Mumbai Indians,Bat,Daredevils,6 wickets,Murali Vijay,Sharjah Cricket Stadium,
510,Sunrisers Hyderabad,Chennai Super Kings,145.0,146.0,Sunrisers Hyderabad,Bat,Super,5 wickets,Dwayne Smith,Sharjah Cricket Stadium,
511,Royal Challengers Bangalore,Kings XI Punjab,124.0,127.0,Kings XI Punjab,Field,Kings,5 wickets,Sandeep Sharma,Dubai International Cricket Stadium,
512,Rajasthan Royals,Kolkata Knight Riders,152.0,152.0,Rajasthan Royals,Bat,Tied,Tied,James Faulkner,Sheikh Zayed Stadium,Abu Dhabi
513,Sunrisers Hyderabad,Mumbai Indians,172.0,157.0,Mumbai Indians,Field,Sunrisers,15 runs,Bhuvneshwar Kumar,Dubai International Cricket Stadium,
514,Chennai Super Kings,Kolkata Knight Riders,,114.0,Chennai Super Kings,Bat,Super,34 runs,Ravindra Jadeja,JSCA International Stadium Complex,Ranchi
515,Kings XI Punjab,Mumbai Indians,168.0,170.0,Kings XI Punjab,Bat,Mumbai,5 wickets,Corey Anderson,Wankhede Stadium,Mumbai
